Name,Rating,Number of Raters,Sold,Current Price,Original Price
"Buds Air I12/Inpods Tws Wireless In-Ear Ear Pods Bluetooth 5.0 Headphones In Ear Earphone, In Ear Earbuds - Earbuds - Bluetooth Headphone - Bluetooth Headphone",4.3/5,(344),3K Sold,৳257,৳ 850
"Buds Air I12/Inpods Tws Wireless In-Ear Ear Pods Bluetooth 5.0 Headphones In Ear Earphone, In Ear Earbuds - Earbuds - Bluetooth Headphone - Bluetooth Headphone",4.3/5,(344),3K Sold,৳257,৳ 850
M10 TWS Earbuds 2500mAh Charging Box Bluetooth-compatible Stereo Waterproof,4.1/5,(2928),18K Sold,৳398,"৳ 1,199"
"Buds Air I12/Inpods Tws Wireless In-Ear Ear Pods Bluetooth 5.0 Headphones In Ear Earphone, In Ear Earbuds - Earbuds - Bluetooth Headphone - Bluetooth Headphone",4.3/5,(344),3K Sold,৳257,৳ 850
M10 TWS Earbuds 2500mAh Charging Box Bluetooth-compatible Stereo Waterproof,4.1/5,(2928),18K Sold,৳398,"৳ 1,199"
AirPods Pro 2ndGeneration specials edition Dubai wireless Earbuds,4.1/5,(302),1K Sold,৳638,"৳ 2,900"
"Buds Air I12/Inpods Tws Wireless In-Ear Ear Pods Bluetooth 5.0 Headphones In Ear Earphone, In Ear Earbuds - Earbuds - Bluetooth Headphone - Bluetooth Headphone",4.3/5,(344),3K Sold,৳257,৳ 850
M10 TWS Earbuds 2500mAh Charging Box Bluetooth-compatible Stereo Waterproof,4.1/5,(2928),18K Sold,৳398,"৳ 1,199"
AirPods Pro 2ndGeneration specials edition Dubai wireless Earbuds,4.1/5,(302),1K Sold,৳638,"৳ 2,900"
Pro 6 Wireless Bluetooth Headphones TWS Earphones Mini Heaset with Charging Case Earbuds for All Phone,3.3/5,(127),1K Sold,৳352,"৳ 1,249"
"Buds Air I12/Inpods Tws Wireless In-Ear Ear Pods Bluetooth 5.0 Headphones In Ear Earphone, In Ear Earbuds - Earbuds - Bluetooth Headphone - Bluetooth Headphone",4.3/5,(344),3K Sold,৳257,৳ 850
M10 TWS Earbuds 2500mAh Charging Box Bluetooth-compatible Stereo Waterproof,4.1/5,(2928),18K Sold,৳398,"৳ 1,199"
